population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2014,209.77258424736,244.26050022988,180.96731148396
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2014,11417240.988671564,12596765.162844654,10458651.845484316
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2014,0.0019997418618789,0.0021986990583332,0.0018031848843894
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2014,874.0656352768701,964.3660456514999,800.6792690575
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2016,1578297.4657122712,2142019.141781098,1143512.5104560694
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2016,0.0002772230555876,0.0003806314274982,0.0001997579362762
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2016,117.67102992627,159.69967893308998,85.25534492841
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2015,12058937.723577654,13072795.04988612,11177965.501570044
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2015,0.0021180774955093,0.0023689184937145,0.0019143538178198
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2015,910.81830249594,987.39551270209,844.2779784484701
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2015,2690009.9710222585,3122103.374041814,2322488.6049629
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2015,0.0004724803500774,0.0005552005934549,0.0004026722535687
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2015,203.17795577575,235.81421187719,175.41886169645
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,1,Number,2016,11853846.793559654,12858506.054509144,10918982.023400836
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,2,Percent,2016,0.0020834063812236,0.0022933418474951,0.0018964119182368
1,All Population,6,Incidence,163,India,3,Both,22,All ages,345,Malaria,3,Rate,2016,883.7715266538299,958.6745741015699,814.0720544464601
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,1,Number,2016,2648962.6731683463,3067508.328979017,2291310.442623658
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,2,Percent,2016,0.0004655727957077,0.0005455105042865,0.0003982916875361
1,All Population,6,Incidence,163,India,3,Both,22,All ages,297,Tuberculosis,3,Rate,2016,197.49519514517,228.700148242,170.8301923571
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2017,1783793.977493826,2558050.260878884,1283283.59248926
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2017,0.0003140765229639,0.0004457488091143,0.0002285828177987
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2017,131.3473430235,188.35869462855,94.49291361322
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,1,Number,2018,1449400.5703839145,2080830.0438489967,1039396.9113803144
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,2,Percent,2018,0.0002558561410671,0.000361533308885,0.0001846889445391
1,All Population,6,Incidence,163,India,3,Both,22,All ages,357,Dengue,3,Rate,2018,105.46308179137,151.40793621343,75.62988708468
